short_name,"-, clemscore","all, Average % Played","all, Average Quality Score","adventuregame, % Played","adventuregame, Quality Score","codenames, % Played","codenames, Quality Score","guesswhat, % Played","guesswhat, Quality Score","imagegame, % Played","imagegame, Quality Score","matchit_ascii, % Played","matchit_ascii, Quality Score","privateshared, % Played","privateshared, Quality Score","referencegame, % Played","referencegame, Quality Score","taboo, % Played","taboo, Quality Score","textmapworld, % Played","textmapworld, Quality Score","textmapworld_graphreasoning, % Played","textmapworld_graphreasoning, Quality Score","textmapworld_specificroom, % Played","textmapworld_specificroom, Quality Score","wordle, % Played","wordle, Quality Score","wordle_withclue, % Played","wordle_withclue, Quality Score","wordle_withcritic, % Played","wordle_withcritic, Quality Score"
Mistral-small-2409-DFINAL_1.7K-steps-t0.0--Mistral-small-2409-DFINAL_1.7K-steps-t0.0,27.26,42.62,63.97,0.0,0.0,1.54,50.0,0.0,,100.0,97.51,12.5,100.0,100.0,98.87,100.0,42.22,33.33,55.0,86.0,53.76,90.0,42.37,73.33,100.0,0.0,,0.0,,0.0,
Mistral-small-2501-DFINAL_0.6K-steps-t0.0--Mistral-small-2501-DFINAL_0.6K-steps-t0.0,36.51,64.16,56.91,13.28,12.76,67.69,31.82,100.0,48.33,100.0,95.83,100.0,60.0,100.0,97.37,100.0,56.67,100.0,36.67,44.0,62.48,0.0,,80.0,100.0,50.0,3.33,23.33,51.19,20.0,83.33
Mistral-small-2501-DFINAL_1.1K-steps-t0.0--Mistral-small-2501-DFINAL_1.1K-steps-t0.0,29.13,45.33,64.26,38.28,19.01,47.69,30.65,0.0,,100.0,97.41,0.0,,72.0,96.89,100.0,68.89,100.0,53.61,30.0,66.11,0.0,,76.67,100.0,66.67,10.0,3.33,100.0,0.0,
Mistral-small-2501-DFINAL_1.7K-steps-t0.0--Mistral-small-2501-DFINAL_1.7K-steps-t0.0,27.6,48.7,56.67,3.91,4.69,39.23,27.45,0.0,,100.0,97.05,100.0,67.5,100.0,97.79,100.0,64.44,56.67,61.76,52.0,64.21,0.0,,60.0,100.0,56.67,13.53,13.33,25.0,0.0,
Unsloth-Mistral-Small-24B-Instruct-2501-t0.0--Unsloth-Mistral-Small-24B-Instruct-2501-t0.0,34.65,60.87,56.93,63.28,50.52,70.77,36.96,75.0,37.04,10.17,80.67,100.0,82.5,58.0,78.09,100.0,62.22,95.0,44.44,90.0,64.25,20.0,54.72,80.0,100.0,40.0,8.33,30.0,69.44,20.0,27.78
Unsloth-meta-llama-3.1-4bit-plain-t0.0--Unsloth-meta-llama-3.1-4bit-plain-t0.0,22.36,56.51,39.57,35.94,33.85,43.08,16.07,90.0,11.73,67.8,54.62,100.0,60.0,100.0,23.48,100.0,38.89,98.33,31.92,36.0,55.46,20.0,44.33,56.67,94.12,36.67,0.0,0.0,,6.67,50.0
Unsloth-meta-llama-3.1-70B-bnb-4bit-t0.0--Unsloth-meta-llama-3.1-70B-bnb-4bit-t0.0,42.52,73.58,57.79,88.28,56.77,84.62,36.36,91.67,30.3,79.66,85.57,97.5,61.54,100.0,83.67,100.0,68.89,91.67,59.39,100.0,67.19,23.33,50.25,90.0,100.0,76.67,1.3,6.67,50.0,0.0,
llama3.1-70B-sft-e1-DFINAL_0.6K-steps-t0.0--llama3.1-70B-sft-e1-DFINAL_0.6K-steps-t0.0,53.47,82.57,64.76,77.34,57.81,80.0,31.73,91.67,46.67,98.31,98.28,100.0,80.0,100.0,99.0,100.0,82.22,100.0,51.39,92.0,71.53,46.67,57.4,96.67,100.0,90.0,11.11,33.33,58.33,50.0,61.11
llama3.1-70B-sft-e1-DFINAL_1.1K-steps-t0.0--llama3.1-70B-sft-e1-DFINAL_1.1K-steps-t0.0,46.45,73.51,63.19,64.06,48.44,60.77,32.91,95.0,46.2,100.0,99.22,100.0,65.0,42.0,95.69,100.0,74.44,100.0,52.22,94.0,71.93,43.33,60.75,93.33,100.0,66.67,19.5,33.33,48.67,36.67,69.7
llama3.1-70B-sft-e1-DFINAL_1.7K-steps-t0.0--llama3.1-70B-sft-e1-DFINAL_1.7K-steps-t0.0,45.69,72.17,63.31,71.09,56.77,54.62,32.39,90.0,44.44,100.0,98.92,100.0,75.0,22.0,97.19,100.0,74.44,100.0,60.83,96.0,70.64,46.67,55.24,93.33,100.0,83.33,13.2,26.67,32.29,26.67,75.0
llama3.1-8B-sft-e1-DFINAL-t0.0--llama3.1-8B-sft-e1-DFINAL-t0.0,25.9,57.49,45.05,15.62,11.46,0.77,0.0,96.67,18.39,94.92,95.36,77.5,25.81,100.0,96.27,100.0,40.0,100.0,39.17,86.0,55.4,0.0,,70.0,100.0,63.33,13.68,0.0,,0.0,
llama3.1-8B-sft-e1-DFINAL_0.7K-steps-t0.0--llama3.1-8B-sft-e1-DFINAL_0.7K-steps-t0.0,30.71,60.51,50.75,17.97,15.62,25.38,21.21,88.33,30.82,100.0,94.49,97.5,69.23,100.0,97.13,100.0,46.67,100.0,37.5,68.0,46.71,16.67,36.79,40.0,91.67,56.67,1.18,23.33,71.43,13.33,50.0
llama3.1-8B-sft-e1-DFINAL_1.1K-steps-t0.0--llama3.1-8B-sft-e1-DFINAL_1.1K-steps-t0.0,28.25,63.75,44.31,10.94,17.19,9.23,16.67,98.33,12.43,100.0,94.41,100.0,42.5,100.0,96.32,100.0,40.0,100.0,45.0,84.0,54.75,26.67,34.6,63.33,94.74,63.33,7.89,16.67,25.0,20.0,38.89
llama3.1-8B-sft-e1-DFINAL_1.7K-steps-t0.0--llama3.1-8B-sft-e1-DFINAL_1.7K-steps-t0.0,28.86,58.72,49.14,7.03,14.84,5.38,14.29,85.0,30.07,100.0,94.46,100.0,65.0,100.0,97.35,100.0,33.33,100.0,38.06,88.0,49.96,0.0,,50.0,100.0,70.0,1.43,6.67,25.0,10.0,75.0
llama3.1-sft-e1-_E1_D40005-t0.0--llama3.1-sft-e1-_E1_D40005-t0.0,26.6,54.6,48.72,21.26,14.96,9.23,41.67,73.33,36.36,98.31,87.43,85.0,41.18,100.0,94.37,100.0,33.33,100.0,27.78,64.0,56.72,0.0,,66.67,95.0,46.67,7.14,0.0,,0.0,
